city,city_upper,lat,lng,country,iso2,admin,capital,population,population_proper
Quilpie,QUILPIE,-26.61348,144.269485,Australia,AU,Queensland,,560,560
Cowell,COWELL,-33.68227,136.921173,Australia,AU,South Australia,,537,537
Andamooka,ANDAMOOKA,-30.44972,137.163651,Australia,AU,South Australia,,528,528
Eidsvold,EIDSVOLD,-25.370609,151.122589,Australia,AU,Queensland,,459,459
Woomera,WOOMERA,-31.19981,136.832581,Australia,AU,South Australia,,450,450
Wilcannia,WILCANNIA,-31.56031,143.377045,Australia,AU,New South Wales,,442,442
Mount Magnet,MOUNT MAGNET,-28.064791,117.849037,Australia,AU,Western Australia,,424,424
Hughenden,HUGHENDEN,-20.84399,144.200348,Australia,AU,Queensland,,421,421
Laverton,LAVERTON,-28.625311,122.399399,Australia,AU,Western Australia,,316,316
Richmond,RICHMOND,-20.73243,143.143555,Australia,AU,Queensland,,296,296
Birdsville,BIRDSVILLE,-25.898001,139.351726,Australia,AU,Queensland,,283,283
Ivanhoe,IVANHOE,-32.900379,144.301498,Australia,AU,New South Wales,,265,265
Morawa,MORAWA,-29.21343,116.007912,Australia,AU,Western Australia,,259,259
Theodore,THEODORE,-24.94743,150.075287,Australia,AU,Queensland,,246,246
Adelaide River,ADELAIDE RIVER,-13.23943,131.10733,Australia,AU,Northern Territory,,237,237
Leonora,LEONORA,-28.88509,121.330742,Australia,AU,Western Australia,,227,227
Kingston South East,KINGSTON SOUTH EAST,-36.83073,139.852203,Australia,AU,South Australia,,206,206
Thargomindah,THARGOMINDAH,-27.99498,143.823914,Australia,AU,Queensland,,203,203
Burketown,BURKETOWN,-17.741051,139.547745,Australia,AU,Queensland,,200,173
Three Springs,THREE SPRINGS,-29.533609,115.760529,Australia,AU,Western Australia,,190,190
Southern Cross,SOUTHERN CROSS,-31.22677,119.323761,Australia,AU,Western Australia,,187,187
Camooweal,CAMOOWEAL,-19.921539,138.120132,Australia,AU,Queensland,,187,187
Bicheno,BICHENO,-41.884764,148.301446,Australia,AU,Tasmania,,177,177
Karumba,KARUMBA,-17.488819,140.838196,Australia,AU,Queensland,,173,173
Windorah,WINDORAH,-25.42224,142.656597,Australia,AU,Queensland,,158,158
Bedourie,BEDOURIE,-24.3637,139.465277,Australia,AU,Queensland,,142,142
Kingoonya,KINGOONYA,-30.9,135.3,Australia,AU,South Australia,,50,50
Melbourne,MELBOURNE,-37.813938,144.963425,Australia,AU,Victoria,admin,,
Currie,CURRIE,-39.929759,143.853847,Australia,AU,Tasmania,minor,,
Hamilton Island,HAMILTON ISLAND,-20.3517,148.9488,Australia,AU,Queensland,,,
Mackay,MACKAY,-21.1706,149.1808,Australia,AU,Queensland,,,
Sunshine Coast,SUNSHINE COAST,-26.6038,153.09,Australia,AU,Queensland,,,
Tamworth,TAMWORTH,-31.0845,150.8484,Australia,AU,New South Wales,,,
Ayers Rock,AYERS ROCK,-25.1905,130.9763,Australia,AU,Northern Territory,,,
Kangaroo Island,KANGAROO ISLAND,-35.84,137.16,Australia,AU,South Australia,,,
